Title,Description
Organic Tartar Cream',"Tartar sauce is based on either mayonnaise (egg yolk, mustard or vinegar, bitartrate, oil) or aioli (olive oil, garlic), with certain other ingredients added. In the UK, recipes typically add to the base capers, gherkins, lemon juice, and dill. US recipes may include chopped dill pickles, onions (or chives), and fresh parsley. Chopped hard-boiled eggs or olives are sometimes added, as may be Dijon mustard and cocktail onions."
Orange Extract',"Orange oil is an essential oil produced by cells within the rind of an orange fruit (Citrus sinensis fruit). In contrast to most essential oils, it is extracted as a by-product of orange juice production by centrifugation, producing a cold-pressed oil. It is composed of mostly (greater than 90%) d-limonene, and is often used in place of pure d-limonene. D-limonene can be extracted from the oil by distillation."
Pickled Cauliflower',"Cauliflower � Cauliflower, of course, is the star of this recipe. Choose a firm, closed head of cauliflower. If you are using white cauliflower, try to avoid cauliflower with any dark spots. Red and orange bell pepper � Bell peppers add extra flavor to this recipe. Both red and orange bell peppers are sweeter than green bell peppers and won�t add heat. Vinegar � Vinegar is the active ingredient in pickling vegetables. For the best results, use a combination of white vinegar and apple cider vinegar. Water � As written, you use equal parts of water and vinegar. For more tang, you can reduce the amount of water in the recipe. Garlic � Fresh garlic cloves add zip to the cauliflower. Sugar � White sugar helps to balance the acidity of the vinegar. Use a sugar substitute to keep these cauliflower pickles keto or omit it all together if you prefer. Salt � Salt is a major part of the pickling brine. Use kosher salt or pickling salt. Spices � For maximum yum factor, use a blend of mustard seed, coriander, black peppercorns and a pinch of red pepper flakes."
Pork Chump Chops',"A pork chop, like other meat chops, is a loin cut taken perpendicular to the spine of the pig and is usually a rib or part of a vertebra. Pork chops are unprocessed and leaner than other cuts. Chops are commonly served as an individual portion, and can be accompanied with applesauce, vegetables, and other sides. Pork is one of the most commonly consumed meats in the world. In the United States, pork chops are the most commonly consumed meat cut from the pork loin and account for 10% of total pork consumption. It comes from the pork shoulder."
Pork Lungs',"variety meats, pluck or organ meats, is the organs of a butchered animal. The word does not refer to a particular list of edible organs, which varies by culture and region, but usually excludes muscle.[citation needed] Offal may also refer to the by-products of milled grains, such as corn or wheat. Some cultures strongly consider offal as food to be taboo, while others use it as everyday food, or even as delicacies. Certain offal dishes�including foie gras, p�t�, and haggis �are internationally regarded as gourmet food in the culinary arts. Others remain part of traditional regional cuisine and may be consumed especially in connection with holidays. This includes sweetbread, Jewish chopped liver, U.S. chitterlings, Mexican menudo, as well as many other dishes. On the other hand, intestines are traditionally used as casing for sausages. Depending on the context, offal may refer only to those parts of an animal carcass discarded after butchering or skinning; offal not used directly for human or animal consumption is often processed in a rendering plant, producing material that is used for fertilizer or fuel; or in some cases, it may be added to commercially produced pet food.[citation needed] In earlier times, mobs sometimes threw offal and other rubbish at condemned criminals as a show of public disapproval."
Pork Tripe',"Tripe refers to cow (beef) stomach, but includes stomach of any ruminant including cattle, sheep, deer, antelope, goat, ox, giraffes, and their relatives. Tripas, the related Spanish word, also refers to culinary dishes produced from any animal with a stomach. In some cases, other names have been applied to the tripe of other animals. For example, tripe from pigs may be referred to as paunch, pig bag, or hog maw."
Peanut Butter',"Peanut butter is included as an ingredient in many recipes: peanut butter and jelly sandwiches, peanut butter cookies, and candies where peanut is the main flavor, such as Reese's Pieces, or various peanut butter and chocolate treats, such as Reese's Peanut Butter Cups and the Crispy Crunch candy bar. Peanut butter's flavor combines well with other flavors, such as oatmeal, cheese, cured meats, savory sauces, and various types of breads and crackers. The creamy or crunchy, fatty, salty taste pairs very well with complementary soft and sweet ingredients like fruit preserves, bananas, apples, and honey. The taste can also be enhanced by similarly salty things like bacon (see Peanut butter, banana and bacon sandwich), especially if the peanut butter has added sweetness. One snack for children is called ""ants on a log"", with a celery stick acting as the ""log"". The groove in the celery stick is filled with peanut butter and raisins arranged in a row along the top are ""ants"". Plumpy'nut is a peanut butter-based food used to fight malnutrition in famine-stricken countries. A single pack contains 500 calories, can be stored unrefrigerated for 2 years, and requires no cooking or preparation."
Smokies Sausage',"A sausage is a type of meat product usually made from ground meat�often pork, beef, or poultry�along with salt, spices and other flavourings. Other ingredients, such as grains or breadcrumbs may be included as fillers or extenders. When used as an adjective, the word sausage can refer to the loose sausage meat, which can be formed into patties or stuffed into a skin. When referred to as ""a sausage"", the product is usually cylindrical and encased in a skin. Typically, a sausage is formed in a casing traditionally made from intestine, but sometimes from synthetic materials. Sausages that are sold raw are cooked in many ways, including pan-frying, broiling and barbecuing. Some sausages are cooked during processing, and the casing may then be removed."
Snickers Spread',"The early (1939) ingredients list includes white sugar, sweet milk chocolate, corn syrup, peanuts, milk condensed with sugar, coconut oil, malted milk, whites of eggs and salt. By 2019, the ingredients for the original bar had been refined to milk chocolate (sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, artificial flavor), peanuts, corn syrup, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor"
Strawberry Gelatin',"Probably best known as a gelling agent in cooking, different types and grades of gelatin are used in a wide range of food and nonfood products. Common examples of foods that contain gelatin are gelatin desserts, trifles, aspic, marshmallows, candy corn, and confections such as Peeps, gummy bears, fruit snacks, and jelly babies. Gelatin may be used as a stabilizer, thickener, or texturizer in foods such as yogurt, cream cheese, and margarine; it is used, as well, in fat-reduced foods to simulate the mouthfeel of fat and to create volume. It also is used in the production of several types of Chinese soup dumplings, specifically Shanghainese soup dumplings, or xiaolongbao, as well as Shengjian mantou, a type of fried and steamed dumpling. The fillings of both are made by combining ground pork with gelatin cubes, and in the process of cooking, the gelatin melts, creating a soupy interior with a characteristic gelatinous stickiness. Gelatin is used for the clarification of juices, such as apple juice, and of vinegar. Isinglass is obtained from the swim bladders of fish. It is used as a fining agent for wine and beer. Besides hartshorn jelly, from deer antlers (hence the name ""hartshorn""), isinglass was one of the oldest sources of gelatin."
Salmon',"Raw wild salmon is 70% water, 20% protein, 6% fat, and contains no carbohydrates (table). In a 100 gram reference amount, raw salmon supplies 142 calories, and is a rich source (20% or more of the Daily Value, DV) of several B vitamins, especially vitamin B12 at 133% DV, selenium (52% DV), and phosphorus (29% DV). Dietary minerals in moderate content are copper (15% DV) and potassium"
'Tomato',"A tomato is 95% water, contains 4% carbohydrates and less than 1% each of fat and protein (table). 100 g of raw tomatoes supply 18 kilocalories and are a moderate source of vitamin C (17% of the Daily Value), but otherwise have no significant nutrient content."
Tamarind',"The fruit is harvested by pulling the pod from its stalk. A mature tree may be capable of producing up to 175 kilograms (386 pounds) of fruit per year. Veneer grafting, shield (T or inverted T) budding, and air layering may be used to propagate desirable cultivars. Such trees will usually fruit within three to four years if provided optimum growing conditions. The fruit pulp is edible. The hard green pulp of a young fruit is considered by many to be too sour, but is often used as a component of savory dishes, as a pickling agent or as a means of making certain poisonous yams in Ghana safe for human consumption. As the fruit matures it becomes sweeter and less sour (acidic) and the ripened fruit is considered more palatable. The sourness varies between cultivars and some sweet tamarind ones have almost no acidity when ripe. In Western cuisine, tamarind pulp is found in Worcestershire Sauce and HP Sauce. Tamarind paste has many culinary uses including a flavoring for chutneys, curries, and the traditional sharbat syrup drink. Tamarind sweet chutney is popular in India and Pakistan as a dressing for many snacks and often served with samosa. Tamarind pulp is a key ingredient in flavoring curries and rice in south Indian cuisine, in the Chigali lollipop, in rasam, and in certain varieties of masala chai tea. Across the Middle East, from the Levant to Iran, tamarind is used in savory dishes, notably meat-based stews, and often combined with dried fruits to achieve a sweet-sour tang. In the Philippines, the whole fruit is used as an ingredient in the traditional dish called sinigang to add a unique sour taste, unlike that of dishes that use vinegar instead. Indonesia also has a similarly sour, tamarind-based soup dish called sayur asem. In Mexico and the Caribbean, the pulp is diluted with water and sugared to make an agua fresca drink. It is widely used throughout all of M�xico for candy making, including tamarind mixed with chilli powder candy. The leaves and bark are also edible, and the seeds can be cooked to make safe for consumption. Blanched, tender tamarind leaves are used in a Burmese salad called magyi ywet thoke, a salad from Upper Myanmar that features tender blanched tamarind leaves, garlic, onions, roasted peanuts, and pounded dried shrimp."
Vegan Carob Chips',"AUSSIE semi-sweet and unsweetened carob chocolate button chips can be used in a variety of your favorite foods or just eat our delicious melt in your mouth carob chips right out of the bag. Made with vegan, organic ingredients. Tastes similar to chocolate, but not chocolate.  Contains no caffeine. Oregon Kosher Certified.  Aussie unsweetened carob chips INGREDIENTS: *Australian Carob Powder, *Palm Kernel Stearin (Rainforest Alliance Certified), *Inulin (Agave Fiber), *Sunflower Lecithin, *Vanilla Flavor, Himalayan Pink Salt. *Organic Aussie semi-sweet carob chips INGREDIENTS: *Australian Carob Powder, *Palm Kernel Stearin (Rainforest Alliance Certified), *Coconut Sugar, *Sunflower Lecithin, *Vanilla Flavor, Himalayan Pink Salt"
Vegan Chicken Strips',"Prepare to be blown away by these Crispy and Crunchy Vegan Chicken Nuggets aka Tofu Nuggets, that are my vegan version to popcorn chicken! They�re so flavourful on the inside with the best texture thanks to some key tips and marinating the tofu. They�re bound to be a part of your meal prep rotation � I made them three times in one week!"
Vegan Chorizo',"A simple, delicious recipe for Vegan Chorizo made with walnuts, lentils, and Mexican spices that can be used as a meat substitute in tacos, tostadas, quesadillas, and burritos, burrito bowls, nachos or breakfast bowls. Make it ahead and keep it in the fridge for busy weeknights! "
Vegan Marshmallow',"If you�ve never really analyzed marshmallow ingredients or thought about what�s in your food, you may not even know that regular marshmallows contain gelatin which is a form of boiled down pork bones, fats, and more. This substance is used to make the texture of marshmallows. Vegans don�t consume any animal products, so that means they have to use something besides gelatin to make marshmallows. Today, we�ll be using agar agar which is a seaweed substance to make our vegan marshmallow. Don�t worry, your marshmallows won�t taste like they are from the ocean, it doesn�t have a taste."
Vegan Puff Pastry Sheet',"Puff pastry is sold solely on the basis of being vegan. Aside from being gluten-free, the cake includes only buckwheat flour and salt. In addition to being kosher certified, it is frequently used in vegan pie and pastry recipes. Every time, we use this recipe because it has no strange ingredients and is simple to prepare. You can tailor your pastry to your specific requirements by selecting eight different flavors. There are two main types of shortcrusts to choose from: savoury and sweet. Each of the recipes includes four flavor variations. When chilled, the dough will be a little softer and stickier than you expect, and it will become easier to roll once it has settled down. After brushing the pastry with the margarine, sprinkle it with 25g vegan cheese. To make the dough more sticky, add 1tbsp dijon or wholegrain mustard. This vegan shortcrust pastry can be used to make almost any dish, with eight different flavor variations. Because it�s so simple to implement, the results are astounding on a regular basis. There are vegan brands (such as Jus-Rol and most supermarket own brands) that contain milk, but there is no luxury all-butter variety with milk. When you add ground almonds or vanilla extract, you will need to add them right away. If you are using vegan butter or milk, make sure it is completely chilled. You will have a better-textured pastry and will be less likely to scratch it when rubbing it in. If you have time, it is a good idea to cool the pastry before cooking (roll it into your tart case or pie dish). It will keep the meat from sticking to the sides and cooking too quickly."
'Vegan Semisweet Chocolate Chips',"Dairy-free, nut-free and soy-free, vegan, our Semi-Sweet Chocolate Mini Chips are delicious in gluten free cookies or straight from the bag. Eat freely knowing this smooth, semi-sweet chocolate is free of 14 common allergens, Certified Gluten-Free and Vegan. Dairy-free, nut-free and soy-free, our Semi-Sweet Chocolate Mini Chips are delicious in gluten free cookies or straight from the bag. Eat freely knowing this smooth, semi-sweet chocolate is free of 14 common allergens, Certified Gluten-Free and Vegan."
Vegan White Cake',"The main difference between a vegan white cake and a vegan vanilla cake is just trying to make the color as light as possible. To make this white cake as white as possible, I used a clear vanilla extract, almond milk, which is very white in color, and baking powder instead of baking soda. Baking powder tends to result in a lighter color for baked goods so worked great here."
Vegetable Stock',"Vegetable stock, also called vegetable broth, is typically a clear liquid made from boiling a variety of different vegetables and herbs. It is often used as a replacement for bouillon and other meat stocks, like chicken stock. Mirepoix, a combination of onions, carrots, celery, and sometimes other vegetables. Often the less desirable parts of the vegetables (such as carrot skins and celery ends) are used since they will not be eaten."
Vinegar',"Vinegar is commonly used in food preparation, in particular as pickling liquids, vinaigrettes, and other salad dressings. It is an ingredient in sauces, such as hot sauce, mustard, ketchup, and mayonnaise. Vinegar is sometimes used in chutneys. It is often used as a condiment on its own, or as a part of other condiments. Marinades often contain vinegar. Soups sometimes have vinegar added to them, as is the case with hot and sour soup. In terms of its shelf life, vinegar's acidic nature allows it to last indefinitely without the use of refrigeration; it is essentially already ""spoiled"". A beverage made from apple vinegar in China. Several beverages are made using vinegar, for instance posca in ancient Rome. The ancient Greek drink oxymel is made from vinegar and honey, and sekanjabin is a traditional Persian drink similar to oxymel. Other preparations, known colloquially as ""shrubs"", range from simply mixing sugar water or honey water with small amounts of fruity vinegar, to making syrup by laying fruit or mint in vinegar for several days, then sieving off solid parts and adding considerable amounts of sugar. Some prefer to boil the ""shrub"" as a final step. These recipes have lost much of their popularity with the rise of carbonated beverages, such as soft drinks. Preliminary research indicates that consuming 2-4 tablespoons of vinegar may cause small reductions in post-meal levels of blood glucose and insulin in people with diabetes. Distilled or red wine vinegar is 95% water, with no fat or protein. In a 100 mL (3+1?2 US fl oz) reference amount, distilled vinegar supplies 75 kJ (18 kcal) of food energy and no micronutrients in significant content. The composition (and absence of nutrient content) for red wine vinegar and apple cider vinegar are the same, whereas balsamic vinegar is 77% water with 17% carbohydrates, 370 kJ (88 kcal) per 100 mL, and contains no fat, protein, or micronutrients."
